id,estado,monto,descripcion
1,error_conexion,663.21,fallo en operación
3,error_timeout,672.39,operación exitosa
6,error_timeout,893.28,fallo en operación
7,error_timeout,161.83,completado
9,error_timeout,121.5,fallo en operación
12,error_timeout,61.42,operación exitosa
14,error_timeout,147.9,fallo en operación
17,error_conexion,325.78,completado
19,error_timeout,243.37,fallo en operación
24,error_timeout,275.95,fallo en operación
28,error_timeout,203.82,operación exitosa
30,error_conexion,261.33,operación exitosa
31,error_conexion,173.61,fallo en operación
34,error_conexion,151.98,completado
36,error_conexion,756.84,fallo en operación
40,error_conexion,509.08,fallo en operación
42,error_timeout,450.79,reintentar
45,error_timeout,471.79,reintentar
47,error_conexion,537.64,operación exitosa
48,error_conexion,217.73,operación exitosa
52,error_timeout,988.07,fallo en operación
53,error_conexion,605.44,operación exitosa
55,error_timeout,709.86,operación exitosa
56,error_timeout,993.2,reintentar
57,error_conexion,794.68,reintentar
62,error_conexion,569.79,reintentar
63,error_timeout,865.2,reintentar
68,error_conexion,56.74,operación exitosa
72,error_timeout,409.12,operación exitosa
76,error_timeout,688.59,fallo en operación
78,error_conexion,599.19,operación exitosa
81,error_conexion,830.88,fallo en operación
84,error_conexion,695.49,operación exitosa
85,error_conexion,912.44,reintentar
88,error_timeout,717.29,completado
89,error_conexion,844.66,completado
93,error_timeout,283.04,completado
96,error_timeout,493.15,reintentar
97,error_timeout,369.16,reintentar
98,error_timeout,744.99,completado
100,error_timeout,549.86,reintentar
1,error_conexion,574.86,fallo en operación
6,error_conexion,548.46,fallo en operación
9,error_timeout,483.64,reintentar
15,error_conexion,243.77,operación exitosa
22,error_conexion,202.63,fallo en operación
24,error_conexion,730.3,completado
25,error_conexion,427.92,reintentar
26,error_conexion,320.99,fallo en operación
27,error_conexion,11.1,fallo en operación
28,error_timeout,637.76,fallo en operación
30,error_timeout,529.89,completado
31,error_timeout,999.52,fallo en operación
32,error_timeout,803.94,completado
34,error_conexion,446.73,reintentar
35,error_conexion,345.5,reintentar
37,error_timeout,885.53,completado
38,error_timeout,778.09,reintentar
50,error_timeout,173.99,reintentar
51,error_timeout,505.94,completado
52,error_conexion,432.32,reintentar
59,error_timeout,815.21,reintentar
60,error_timeout,32.7,fallo en operación
64,error_conexion,165.07,fallo en operación
65,error_conexion,886.19,operación exitosa
66,error_timeout,915.41,fallo en operación
73,error_conexion,764.03,fallo en operación
80,error_timeout,193.7,completado
81,error_conexion,732.29,operación exitosa
82,error_timeout,376.68,operación exitosa
83,error_conexion,638.96,fallo en operación
84,error_conexion,952.64,operación exitosa
90,error_conexion,925.88,reintentar
94,error_timeout,515.82,completado
95,error_timeout,796.38,fallo en operación
96,error_timeout,176.92,fallo en operación
98,error_conexion,107.69,reintentar
99,error_conexion,388.31,fallo en operación
4,error_conexion,787.95,operación exitosa
5,error_conexion,536.66,reintentar
6,error_timeout,615.33,reintentar
12,error_conexion,957.73,operación exitosa
15,error_conexion,139.76,fallo en operación
16,error_conexion,603.48,operación exitosa
18,error_timeout,131.78,completado
20,error_timeout,789.75,fallo en operación
21,error_conexion,612.86,fallo en operación
23,error_timeout,328.09,operación exitosa
25,error_conexion,895.04,fallo en operación
26,error_timeout,832.07,fallo en operación
28,error_timeout,510.19,reintentar
29,error_timeout,733.55,operación exitosa
31,error_timeout,183.7,completado
34,error_conexion,149.7,fallo en operación
37,error_conexion,636.61,completado
41,error_conexion,145.83,completado
42,error_timeout,938.16,reintentar
45,error_timeout,275.46,reintentar
46,error_conexion,305.1,completado
47,error_conexion,691.54,completado
48,error_timeout,575.21,operación exitosa
53,error_conexion,570.87,fallo en operación
54,error_conexion,717.16,completado
59,error_timeout,670.09,operación exitosa
64,error_conexion,868.81,operación exitosa
66,error_conexion,730.85,completado
67,error_conexion,831.51,reintentar
70,error_timeout,244.41,fallo en operación
71,error_timeout,482.85,reintentar
72,error_timeout,656.86,completado
75,error_conexion,447.23,fallo en operación
77,error_conexion,394.73,completado
80,error_timeout,124.29,operación exitosa
81,error_conexion,52.47,completado
83,error_conexion,131.53,reintentar
84,error_timeout,671.84,reintentar
92,error_conexion,390.62,completado
94,error_timeout,648.07,operación exitosa
98,error_timeout,428.98,completado
4,error_conexion,695.28,reintentar
5,error_timeout,763.98,reintentar
6,error_conexion,867.14,operación exitosa
