PRIMARY_KEY,STATE,YEAR,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G
1986_ALABAMA,ALABAMA,1986,,53672.0,56939.0,57261.0,45396.0,,,733735.0
1987_ALABAMA,ALABAMA,1987,,54454.0,56671.0,56472.0,45742.0,,,729234.0
1988_ALABAMA,ALABAMA,1988,,54265.0,57531.0,55262.0,45571.0,,,724751.0
1989_ALABAMA,ALABAMA,1989,,55478.0,59944.0,54912.0,43482.0,,,723743.0
1990_ALABAMA,ALABAMA,1990,,54067.0,58666.0,57024.0,42031.0,,,721806.0
1991_ALABAMA,ALABAMA,1991,,54125.0,58520.0,56607.0,41725.0,,,722004.0
1992_ALABAMA,ALABAMA,1992,8224.0,55460.0,57948.0,58025.0,41167.0,,,731634.0
1993_ALABAMA,ALABAMA,1993,8264.0,56598.0,57497.0,60004.0,39900.0,,,734288.0
1994_ALABAMA,ALABAMA,1994,9051.0,57723.0,56773.0,59165.0,41730.0,,,736531.0
1995_ALABAMA,ALABAMA,1995,9324.0,59739.0,56486.0,59914.0,40981.0,,,746149.0
1996_ALABAMA,ALABAMA,1996,9633.0,60949.0,57098.0,58305.0,42510.0,,,747932.0
1997_ALABAMA,ALABAMA,1997,9886.0,58326.0,57431.0,58210.0,44272.0,472847.0,208148.0,749207.0
1998_ALABAMA,ALABAMA,1998,10341.0,58055.0,58610.0,57105.0,43957.0,473954.0,205630.0,747980.0
1999_ALABAMA,ALABAMA,1999,10548.0,56120.0,60012.0,56201.0,42576.0,472019.0,202045.0,740732.0
2000_ALABAMA,ALABAMA,2000,10836.0,55112.0,59749.0,56951.0,42512.0,472686.0,201358.0,739992.0
2001_ALABAMA,ALABAMA,2001,11841.0,54148.0,58929.0,56591.0,42909.0,469591.0,201610.0,737190.0
2002_ALABAMA,ALABAMA,2002,9715.0,55499.0,58690.0,57576.0,45521.0,467993.0,206159.0,739366.0
2003_ALABAMA,ALABAMA,2003,1852.0,56541.0,57323.0,59663.0,42005.0,466920.0,205907.0,731220.0
2004_ALABAMA,ALABAMA,2004,1994.0,56964.0,56182.0,59286.0,42672.0,462799.0,208383.0,730140.0
2005_ALABAMA,ALABAMA,2005,2623.0,58692.0,55919.0,59643.0,43452.0,466164.0,212414.0,741761.0
2006_ALABAMA,ALABAMA,2006,3872.0,58209.0,56720.0,59573.0,44471.0,466583.0,214968.0,743632.0
2007_ALABAMA,ALABAMA,2007,3592.0,55972.0,57795.0,58792.0,46200.0,466414.0,216941.0,742919.0
2008_ALABAMA,ALABAMA,2008,6470.0,56205.0,58593.0,57809.0,46763.0,465403.0,217590.0,745668.0
2009_ALABAMA,ALABAMA,2009,7774.0,57019.0,59512.0,57027.0,48164.0,464601.0,219495.0,748889.0
2010_ALABAMA,ALABAMA,2010,8179.0,57665.0,59117.0,57992.0,49719.0,467768.0,221940.0,755552.0
2011_ALABAMA,ALABAMA,2011,8282.0,57602.0,56491.0,57919.0,49510.0,461122.0,217615.0,744621.0
2012_ALABAMA,ALABAMA,2012,9032.0,59428.0,55859.0,58151.0,48945.0,458974.0,217203.0,744637.0
2013_ALABAMA,ALABAMA,2013,9415.0,59757.0,55719.0,58799.0,48965.0,458327.0,218705.0,746204.0
2014_ALABAMA,ALABAMA,2014,11076.0,57939.0,55479.0,57471.0,49929.0,454081.0,221068.0,744164.0
2015_ALABAMA,ALABAMA,2015,13230.0,55613.0,55808.0,55792.0,50668.0,452764.0,222182.0,743789.0
2016_ALABAMA,ALABAMA,2016,14755.0,55474.0,57945.0,55055.0,52320.0,452063.0,222638.0,744930.0
2017_ALABAMA,ALABAMA,2017,15520.0,54985.0,58541.0,55226.0,52848.0,,219387.0,742444.0
1986_ALASKA,ALASKA,1986,,10334.0,8706.0,7313.0,6753.0,,,107848.0
1987_ALASKA,ALASKA,1987,1191.0,9759.0,8273.0,7278.0,7160.0,,,106869.0
1988_ALASKA,ALASKA,1988,1747.0,8637.0,8517.0,7184.0,6851.0,,,106481.0
1989_ALASKA,ALASKA,1989,1782.0,9652.0,9010.0,7572.0,6402.0,,,109280.0
1990_ALASKA,ALASKA,1990,1713.0,10107.0,9487.0,7967.0,6486.0,,,113903.0
1991_ALASKA,ALASKA,1991,1914.0,10405.0,9883.0,8430.0,6621.0,,,118680.0
1992_ALASKA,ALASKA,1992,2371.0,10152.0,9748.0,8789.0,6714.0,,,122487.0
1993_ALASKA,ALASKA,1993,2787.0,10329.0,10156.0,9160.0,6975.0,,,125948.0
1994_ALASKA,ALASKA,1994,2593.0,10309.0,10318.0,9503.0,7057.0,,,127057.0
1995_ALASKA,ALASKA,1995,2419.0,10567.0,10222.0,9573.0,7111.0,,,127618.0
1996_ALASKA,ALASKA,1996,2186.0,10451.0,10055.0,9627.0,7370.0,,,129919.0
1997_ALASKA,ALASKA,1997,2183.0,10249.0,10473.0,9954.0,7771.0,83217.0,36474.0,132123.0
1998_ALASKA,ALASKA,1998,2017.0,9838.0,10555.0,10497.0,8403.0,85124.0,38394.0,135373.0
