category,mean,median,std,count
Car&Motorbike|CarAccessories|InteriorAccessories|AirPurifiers&Ionizers,42.0,42.0,,1
Computers&Accessories|Accessories&Peripherals|Adapters|USBtoUSBAdapters,78.5,78.5,21.920310216782973,2
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCHeadsets,35.0,35.0,,1
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCMicrophones,56.5,56.5,4.949747468305833,2
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCSpeakers,46.5,46.5,4.949747468305833,2
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|Webcams&VoIPEquipment|Webcams,44.5,44.5,30.405591591021544,2
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|CableConnectionProtectors,90.0,90.0,0.0,3
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|DVICables,55.0,55.0,,1
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|EthernetCables,54.0,54.0,16.97056274847714,2
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|SATACables,65.0,65.0,,1
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,59.29565217391304,61.5,16.551084827329547,230
Computers&Accessories|Accessories&Peripherals|HardDiskBags,54.333333333333336,56.0,13.576941236277534,3
Computers&Accessories|Accessories&Peripherals|HardDriveAccessories|Caddies,75.0,75.0,,1
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|GraphicTablets",60.81818181818182,65.0,22.639868293866826,11
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|DustCovers",87.5,87.5,0.7071067811865476,2
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|MousePads",61.25,56.5,15.322718893385543,8
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MouseSets",32.1,33.0,8.332666639997866,10
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboards",35.0,21.0,23.39871791359518,5
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",42.041666666666664,41.5,12.811269382399457,24
Computers&Accessories|Accessories&Peripherals|LaptopAccessories,44.0,44.0,,1
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Bags&Sleeves|LaptopSleeves&Slipcases,61.833333333333336,55.0,12.734467663262045,6
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|CameraPrivacyCovers,25.666666666666668,0.0,44.45597072760118,3
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|CoolingPads,45.0,45.0,7.0710678118654755,2
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Lapdesks,58.92857142857143,62.0,21.99462971417651,14
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|LaptopChargers&PowerSupplies,61.0,55.0,14.508618128546908,5
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|NotebookComputerStands,75.66666666666667,77.0,5.131601439446886,3
Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|Gamepads,52.333333333333336,53.0,6.027713773341707,3
Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingKeyboards,39.0,36.0,16.703293088490067,3
Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingMice,33.5,26.0,22.99347733597509,6
Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|Headsets,56.666666666666664,58.0,22.03028218914441,3
"Computers&Accessories|Accessories&Peripherals|TabletAccessories|Bags,Cases&Sleeves|Cases",70.5,70.5,10.606601717798213,2
Computers&Accessories|Accessories&Peripherals|TabletAccessories|ScreenProtectors,63.8,73.0,22.829805080201627,5
Computers&Accessories|Accessories&Peripherals|TabletAccessories|Stands,70.0,70.0,,1
Computers&Accessories|Accessories&Peripherals|USBGadgets|Lamps,16.0,0.0,30.495901363953813,5
Computers&Accessories|Accessories&Peripherals|USBHubs,43.4,38.0,11.949895397031725,5
Computers&Accessories|Accessories&Peripherals|UninterruptedPowerSupplies,20.0,20.0,,1
Computers&Accessories|Components|InternalHardDrives,80.0,80.0,,1
Computers&Accessories|Components|InternalSolidStateDrives,48.0,46.0,8.18535277187245,3
Computers&Accessories|Components|Memory,49.0,49.0,,1
Computers&Accessories|ExternalDevices&DataStorage|ExternalHardDisks,27.0,26.0,7.014271166700072,6
Computers&Accessories|ExternalDevices&DataStorage|ExternalMemoryCardReaders,45.0,45.0,,1
Computers&Accessories|ExternalDevices&DataStorage|ExternalSolidStateDrives,68.0,68.0,,1
Computers&Accessories|ExternalDevices&DataStorage|PenDrives,56.9,59.5,12.905209972892516,10
Computers&Accessories|Laptops|TraditionalLaptops,38.0,38.0,,1
Computers&Accessories|Monitors,50.5,50.5,4.949747468305833,2
Computers&Accessories|NetworkingDevices,66.0,66.0,,1
Computers&Accessories|NetworkingDevices|DataCards&Dongles,35.0,35.0,,1
Computers&Accessories|NetworkingDevices|NetworkAdapters|BluetoothAdapters,33.0,33.0,,1
Computers&Accessories|NetworkingDevices|NetworkAdapters|PowerLANAdapters,40.0,40.0,,1
Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,49.111111111111114,45.0,13.894090529213742,18
Computers&Accessories|NetworkingDevices|Repeaters&Extenders,54.333333333333336,56.0,12.583057392117917,3
Computers&Accessories|NetworkingDevices|Routers,44.666666666666664,48.0,9.055385138137416,9
"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|InkjetInkCartridges",13.0,12.0,9.591663046625438,4
"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|InkjetInkRefills&Kits",73.0,73.0,,1
"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|TonerCartridges",48.0,48.0,,1
"Computers&Accessories|Printers,Inks&Accessories|Printers",13.666666666666666,16.0,4.932882862316248,3
"Computers&Accessories|Printers,Inks&Accessories|Printers|InkjetPrinters",11.5,11.5,2.1213203435596424,2
Computers&Accessories|Tablets,29.0,29.0,,1
Electronics|Accessories|MemoryCards|MicroSD,58.84615384615385,54.0,14.421316131836198,13
Electronics|Accessories|MemoryCards|SecureDigitalCards,44.0,44.0,,1
Electronics|Cameras&Photography|Accessories|Batteries&Chargers|BatteryChargers,25.0,25.0,,1
Electronics|Cameras&Photography|Accessories|Cleaners|CleaningKits,40.0,40.0,,1
Electronics|Cameras&Photography|Accessories|Film,0.0,0.0,,1
Electronics|Cameras&Photography|Accessories|PhotoStudio&Lighting|PhotoBackgroundAccessories|BackgroundSupports,46.0,46.0,,1
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|CompleteTripodUnits,38.0,38.0,,1
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|Tabletop&TravelTripods,69.5,69.5,14.849242404917497,2
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|TripodLegs,62.5,62.5,3.5355339059327378,2
Electronics|Cameras&Photography|Flashes|Macro&RinglightFlashes,60.0,60.0,,1
Electronics|Cameras&Photography|SecurityCameras|DomeCameras,42.6,38.0,19.882152800941853,5
Electronics|Cameras&Photography|VideoCameras,75.0,75.0,,1
Electronics|GeneralPurposeBatteries&BatteryChargers,23.5,26.0,21.748563170931547,4
Electronics|GeneralPurposeBatteries&BatteryChargers|DisposableBatteries,14.285714285714286,15.0,4.956957592256421,7
Electronics|GeneralPurposeBatteries&BatteryChargers|RechargeableBatteries,13.333333333333334,20.0,11.547005383792515,3
"Electronics|Headphones,Earbuds&Accessories|Adapters",88.0,88.0,0.0,2
"Electronics|Headphones,Earbuds&Accessories|Cases",76.0,76.0,,1
"Electronics|Headphones,Earbuds&Accessories|Earpads",90.0,90.0,,1
"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",58.26923076923077,62.5,19.440321332589356,52
"Electronics|Headphones,Earbuds&Accessories|Headphones|On-Ear",52.375,55.0,19.812964730917265,8
"Electronics|Headphones,Earbuds&Accessories|Headphones|Over-Ear",69.0,69.0,7.0710678118654755,2
Electronics|HomeAudio|Accessories|Adapters,65.0,65.0,,1
Electronics|HomeAudio|Accessories|SpeakerAccessories|Mounts,73.0,73.0,,1
Electronics|HomeAudio|MediaStreamingDevices|StreamingClients,0.0,0.0,,1
Electronics|HomeAudio|Speakers|BluetoothSpeakers,48.5,49.5,17.53567791675018,6
Electronics|HomeAudio|Speakers|MultimediaSpeakerSystems,38.0,38.0,,1
Electronics|HomeAudio|Speakers|OutdoorSpeakers,56.25,57.5,4.787135538781691,4
Electronics|HomeAudio|Speakers|SoundbarSpeakers,60.0,60.0,,1
Electronics|HomeAudio|Speakers|TowerSpeakers,43.0,43.0,,1
"Electronics|HomeTheater,TV&Video|AVReceivers&Amplifiers",36.0,36.0,,1
"Electronics|HomeTheater,TV&Video|Accessories|3DGlasses",23.0,23.0,,1
"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",59.791666666666664,60.5,15.015873243849734,24
"Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables",46.333333333333336,32.0,25.69695182961071,3
"Electronics|HomeTheater,TV&Video|Accessories|Cables|RCACables",50.5,50.5,12.020815280171307,2
"Electronics|HomeTheater,TV&Video|Accessories|Cables|SpeakerCables",50.0,50.0,,1
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",59.51020408163265,60.0,14.52314596454511,49
"Electronics|HomeTheater,TV&Video|Accessories|TVMounts,Stands&Turntables|TVWall&CeilingMounts",51.166666666666664,54.5,20.409964886463342,6
"Electronics|HomeTheater,TV&Video|Projectors",42.666666666666664,41.0,8.621678104251709,3
"Electronics|HomeTheater,TV&Video|SatelliteEquipment|SatelliteReceivers",51.333333333333336,48.0,7.571877794400366,3
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",38.285714285714285,39.0,12.189933143626464,63
"Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions",52.166666666666664,49.0,7.082843120291926,6
Electronics|Mobiles&Accessories|MobileAccessories|AutomobileAccessories|Cradles,60.333333333333336,65.0,18.448125469362285,3
Electronics|Mobiles&Accessories|MobileAccessories|Cables&Adapters|OTGAdapters,72.0,72.0,0.0,2
Electronics|Mobiles&Accessories|MobileAccessories|Cases&Covers|BasicCases,70.75,77.5,22.7943706500823,4
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|AutomobileChargers,58.0,52.0,14.071247279470288,5
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|PowerBanks,38.0,39.0,15.96017771603038,12
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|WallChargers,51.4375,53.0,18.088555313604605,16
Electronics|Mobiles&Accessories|MobileAccessories|Décor,73.2,81.0,12.11197754291181,5
Electronics|Mobiles&Accessories|MobileAccessories|Décor|PhoneCharms,90.0,90.0,,1
"Electronics|Mobiles&Accessories|MobileAccessories|Maintenance,Upkeep&Repairs|ScreenProtectors",66.85714285714286,66.0,8.454359258760563,7
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|Bedstand&DeskMounts,74.5,74.5,0.7071067811865476,2
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|HandlebarMounts,66.0,66.0,,1
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|Shower&WallMounts,82.0,82.0,,1
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|Flashes&SelfieLights|SelfieLights,51.0,51.0,,1
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|SelfieSticks,65.4,57.0,13.352902306240393,5
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|Tripods,66.0,66.0,,1
Electronics|Mobiles&Accessories|MobileAccessories|Stands,76.4,80.0,9.34760813137659,10
Electronics|Mobiles&Accessories|MobileAccessories|StylusPens,64.625,65.0,1.0606601717798205,8
Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|BasicMobiles,18.555555555555557,19.0,4.901813723284247,9
Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,23.294117647058822,25.0,8.707620309168238,68
Electronics|PowerAccessories|SurgeProtectors,14.0,14.0,,1
Electronics|WearableTechnology|SmartWatches,69.8157894736842,74.5,13.484520039725343,76
Health&PersonalCare|HomeMedicalSupplies&Equipment|HealthMonitors|WeighingScales|DigitalBathroomScales,53.0,53.0,,1
Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pencils|WoodenPencils,0.0,0.0,,1
Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pens,10.0,10.0,,1
Home&Kitchen|CraftMaterials|PaintingMaterials,0.0,0.0,,1
Home&Kitchen|CraftMaterials|PaintingMaterials|Paints,9.333333333333334,13.0,8.144527815247077,3
Home&Kitchen|CraftMaterials|Scrapbooking|Tape,21.0,21.0,,1
"Home&Kitchen|Heating,Cooling&AirQuality|AirConditioners|Split-SystemAirConditioners",43.0,43.0,,1
"Home&Kitchen|Heating,Cooling&AirQuality|AirPurifiers|HEPAAirPurifiers",41.0,32.5,24.179881444429512,4
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|CeilingFans",38.18181818181818,38.0,10.600171525198842,11
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|ExhaustFans",24.666666666666668,26.0,9.073771725877465,3
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|PedestalFans",40.0,40.0,,1
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|TableFans",42.0,42.0,1.4142135623730951,2
"Home&Kitchen|Heating,Cooling&AirQuality|Humidifiers",39.333333333333336,38.0,3.214550253664319,3
"Home&Kitchen|Heating,Cooling&AirQuality|Parts&Accessories|FanParts&Accessories",59.0,59.0,,1
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters",51.5,51.5,2.1213203435596424,2
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters",36.0,35.0,16.682799209775446,20
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|FanHeaters",42.45,41.5,13.304035794489305,20
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HalogenHeaters",29.5,29.5,21.920310216782973,2
"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HeatConvectors",27.0,27.0,1.4142135623730951,2
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|ImmersionRods",31.77777777777778,34.0,14.43760521847181,9
